DATE,BUSLOANS
2005-11-01,1022.6747
2005-12-01,1036.1918
2006-01-01,1048.7863
2006-02-01,1058.4477
2006-03-01,1068.6652
2006-04-01,1084.9732
2006-05-01,1103.1678
2006-06-01,1118.7616
2006-07-01,1130.6969
2006-08-01,1152.3248
2006-09-01,1151.2133
2006-10-01,1161.3573
2006-11-01,1170.061
2006-12-01,1182.6047
2007-01-01,1192.4186
2007-02-01,1205.0208
2007-03-01,1215.7469
2007-04-01,1226.4706
2007-05-01,1244.4544
2007-06-01,1263.8394
2007-07-01,1281.8077
2007-08-01,1307.6644
2007-09-01,1350.034
2007-10-01,1374.8464
2007-11-01,1393.8337
2007-12-01,1417.7099
2008-01-01,1440.9607
2008-02-01,1449.0692
2008-03-01,1470.6832
2008-04-01,1490.0942
2008-05-01,1491.1941
2008-06-01,1498.1845
2008-07-01,1512.1874
2008-08-01,1513.7076
2008-09-01,1530.9089
2008-10-01,1586.6068
2008-11-01,1575.688
2008-12-01,1558.8183
2009-01-01,1544.779
2009-02-01,1532.6443
2009-03-01,1511.2163
2009-04-01,1491.627
2009-05-01,1469.4159
2009-06-01,1436.2789
2009-07-01,1395.4245
2009-08-01,1363.5159
2009-09-01,1337.6619
2009-10-01,1307.8999
2009-11-01,1290.2181
2009-12-01,1265.269
2010-01-01,1238.6541
2010-02-01,1223.5428
2010-03-01,1210.0289
2010-04-01,1207.501
2010-05-01,1196.7501
2010-06-01,1190.1139
2010-07-01,1188.9885
2010-08-01,1187.8283
2010-09-01,1185.9227
2010-10-01,1184.9484
2010-11-01,1187.1604
2010-12-01,1192.4569
2011-01-01,1196.0137
2011-02-01,1199.7281
2011-03-01,1206.8402
2011-04-01,1214.8352
2011-05-01,1228.9275
2011-06-01,1233.6301
2011-07-01,1244.2733
2011-08-01,1263.3236
2011-09-01,1269.6905
2011-10-01,1280.145
2011-11-01,1292.939
2011-12-01,1303.8454
2012-01-01,1321.3637
2012-02-01,1344.4315
2012-03-01,1350.9629
2012-04-01,1368.4936
2012-05-01,1378.9135
2012-06-01,1397.9754
2012-07-01,1413.6459
2012-08-01,1425.8354
2012-09-01,1434.3606
2012-10-01,1449.3395
2012-11-01,1457.3055
2012-12-01,1474.4932
2013-01-01,1485.0744
2013-02-01,1491.5134
2013-03-01,1499.8073
2013-04-01,1507.2839
2013-05-01,1510.2902
2013-06-01,1521.7392
2013-07-01,1531.7371
2013-08-01,1533.2886
2013-09-01,1539.9534
2013-10-01,1549.4141
2013-11-01,1558.6045
2013-12-01,1574.3176
2014-01-01,1586.7248
2014-02-01,1619.8874
2014-03-01,1634.2275
2014-04-01,1650.929
2014-05-01,1663.5233
2014-06-01,1676.749
2014-07-01,1694.7316
2014-08-01,1711.889
2014-09-01,1725.6479
2014-10-01,1730.5857
2014-11-01,1751.4225
2014-12-01,1773.2627
2015-01-01,1791.4789
2015-02-01,1807.9896
2015-03-01,1834.7373
2015-04-01,1847.5563
2015-05-01,1863.3004
2015-06-01,1880.0582
2015-07-01,1889.3689
2015-08-01,1903.4576
2015-09-01,1915.2645
2015-10-01,1929.8829
2015-11-01,1946.0676
2015-12-01,1952.9447
2016-01-01,1963.857
2016-02-01,1987.1382
2016-03-01,2019.1887
2016-04-01,2033.0036
2016-05-01,2047.8062
2016-06-01,2050.6588
2016-07-01,2057.6936
2016-08-01,2051.3126
2016-09-01,2070.2683
2016-10-01,2085.9002
2016-11-01,2089.1334
2016-12-01,2083.7489
2017-01-01,2082.37
2017-02-01,2082.4778
2017-03-01,2066.3735
2017-04-01,2066.9875
2017-05-01,2071.3441
2017-06-01,2072.7963
2017-07-01,2076.1687
2017-08-01,2084.0705
2017-09-01,2102.9581
2017-10-01,2112.1829
2017-11-01,2104.6638
2017-12-01,2103.249
2018-01-01,2107.3205
2018-02-01,2108.8893
2018-03-01,2121.4809
2018-04-01,2163.5219
2018-05-01,2170.0652
2018-06-01,2187.9484
2018-07-01,2201.488
2018-08-01,2206.5867
2018-09-01,2223.044
2018-10-01,2248.0501
2018-11-01,2271.8639
2018-12-01,2301.2928
2019-01-01,2322.4107
2019-02-01,2328.0523
2019-03-01,2335.7325
2019-04-01,2326.3899
2019-05-01,2330.3381
2019-06-01,2335.7735
2019-07-01,2343.4888
2019-08-01,2362.4099
2019-09-01,2369.7371
2019-10-01,2369.6482
2019-11-01,2366.8015
2019-12-01,2355.121
2020-01-01,2351.8204
2020-02-01,2346.3944
2020-03-01,2561.625
2020-04-01,2919.7817
2020-05-01,3032.1896
2020-06-01,2922.7201
2020-07-01,2854.7208
2020-08-01,2813.411
2020-09-01,2758.3509
2020-10-01,2696.6238
2020-11-01,2636.7798
2020-12-01,2592.2495
2021-01-01,2565.7042
2021-02-01,2586.4157
2021-03-01,2587.2195
2021-04-01,2553.3381
2021-05-01,2538.8811
2021-06-01,2472.1269
2021-07-01,2444.4708
2021-08-01,2422.9126
2021-09-01,2411.4658
2021-10-01,2415.0688
2021-11-01,2427.8271
2021-12-01,2467.6344
2022-01-01,2481.4005
2022-02-01,2490.2375
2022-03-01,2531.2828
2022-04-01,2561.0795
2022-05-01,2601.6941
2022-06-01,2661.8442
2022-07-01,2694.7671
2022-08-01,2718.6964
2022-09-01,2741.0385
2022-10-01,2770.5481
2022-11-01,2795.1518
2022-12-01,2808.5391
2023-01-01,2812.117
2023-02-01,2800.4138
2023-03-01,2793.706
2023-04-01,2773.5992
