DATE,PPIACO,3m growth rate,12m growth rate
2000-12-01,136.2,4.5293012861687965,6.572769953051627
2001-01-01,140.0,14.297698445436335,9.119251753702251
2001-02-01,137.4,7.3029981917391185,5.855161787365182
2001-03-01,135.9,-0.8781505587732052,3.8990825688073327
2001-04-01,136.4,-9.895737036234898,4.361132364192821
2001-05-01,136.8,-1.735316733433501,3.951367781155035
2001-06-01,135.5,-1.1721485160761658,1.2705530642750373
2001-07-01,133.4,-8.5116411708414,-0.2243829468960179
2001-08-01,133.4,-9.576996442398531,0.3762227238525151
2001-09-01,133.3,-6.338002239711049,-1.0393466963622644
2001-10-01,130.3,-8.976329453771648,-3.7666174298375155
2001-11-01,129.8,-10.365448134874654,-3.8518518518518396
2001-12-01,128.1,-14.714358333087109,-5.947136563876654
2002-01-01,128.5,-5.41226024068674,-8.214285714285719
2002-02-01,128.4,-4.245029883880946,-6.550218340611358
2002-03-01,129.8,5.414960625959453,-4.488594554819714
2002-04-01,130.8,7.354057951202653,-4.105571847507328
2002-05-01,130.8,7.688885168333703,-4.385964912280704
2002-06-01,130.9,3.433165542398209,-3.394833948339482
2002-07-01,131.2,1.2288642386703907,-1.6491754122938684
2002-08-01,131.5,2.1579184747032576,-1.4242878560719707
2002-09-01,132.3,4.347197748127685,-0.750187546886727
2002-10-01,133.2,6.238409242692122,2.2256331542593877
2002-11-01,133.1,4.956468777322076,2.5423728813559254
2002-12-01,132.9,1.8264368471102133,3.74707259953162
2003-01-01,135.3,6.45701559811469,5.2918287937743225
2003-02-01,137.6,14.225091257983124,7.1651090342679025
2003-03-01,141.2,27.420370367093973,8.78274268104775
2003-04-01,136.8,4.5088823163101255,4.587155963302747
2003-05-01,136.7,-2.590722377425736,4.510703363914348
2003-06-01,138.0,-8.761621414903232,5.42398777692894
2003-07-01,137.7,2.6576625652354524,4.9542682926829285
2003-08-01,138.0,3.858557735391477,4.94296577946769
2003-09-01,138.5,1.4571709014402412,4.686318972033243
2003-10-01,139.3,4.729421515769894,4.579579579579596
2003-11-01,138.9,2.6343266377157226,4.357625845229163
2003-12-01,139.5,2.919516391445009,4.966139954853266
2004-01-01,141.4,6.167886565921887,4.508499630450835
2004-02-01,142.1,9.538636016800272,3.2703488372092915
2004-03-01,143.1,10.729083323497823,1.3456090651558172
2004-04-01,144.8,9.970603805339495,5.847953216374258
2004-05-01,146.8,13.901097983568976,7.388441843452842
2004-06-01,147.2,11.962530354858414,6.666666666666665
2004-07-01,147.4,7.378092970485262,7.044299201161963
2004-08-01,148.0,3.310066062792494,7.246376811594213
2004-09-01,147.7,1.3656340439268222,6.642599277978323
2004-10-01,150.0,7.244518114701615,7.681263460157917
2004-11-01,151.4,9.51072119771197,8.999280057595382
2004-12-01,150.2,6.944326413473823,7.670250896057329
2005-01-01,150.9,2.421686529599998,6.718528995756712
2005-02-01,151.6,0.5294495384793985,6.685432793807178
2005-03-01,153.7,9.651793448121303,7.407407407407396
2005-04-01,155.0,11.31913770884303,7.044198895027609
2005-05-01,154.3,7.316598554450926,5.108991825613085
2005-06-01,154.3,1.5706505919536928,4.823369565217406
2005-07-01,156.3,3.397281230612026,6.0379918588873815
2005-08-01,157.6,8.833137233079192,6.486486486486487
2005-09-01,162.2,22.10675648300937,9.817197020988488
2005-10-01,166.2,27.846300614888552,10.799999999999986
2005-11-01,163.7,16.4045255458378,8.124174372523107
2005-12-01,163.0,1.9875169028968689,8.521970705725712
2006-01-01,164.3,-4.494985259901196,8.880053015241884
2006-02-01,161.8,-4.562434720875663,6.728232189973626
2006-03-01,162.2,-1.9487844819177425,5.530253741054003
2006-04-01,164.3,0.0,6.000000000000005
2006-05-01,165.8,10.261535395939458,7.453013609850934
2006-06-01,166.1,9.9702292235758,7.647440051847032
2006-07-01,166.8,6.226759048823527,6.717850287907878
2006-08-01,167.9,5.163414774745689,6.535532994923865
2006-09-01,165.4,-1.6751050551342517,1.9728729963008673
2006-10-01,162.2,-10.58318130948599,-2.4067388688327362
2006-11-01,164.6,-7.633063675368589,0.5497861942577842
2006-12-01,165.6,0.4845539285834199,1.595092024539868
2007-01-01,164.0,4.513403941244087,-0.1825928180158365
2007-02-01,166.8,5.4544380399457415,3.0902348578492056
2007-03-01,169.3,9.241210182095204,4.3773119605425626
2007-04-01,171.4,19.307536447925024,4.321363359707853
2007-05-01,173.3,16.5225729163738,4.523522316043427
2007-06-01,173.8,11.06347456016865,4.635761589403975
2007-07-01,175.1,8.918415301231807,4.9760191846522694
2007-08-01,172.4,-2.06119625672625,2.6801667659321016
2007-09-01,173.5,-0.6886631497646234,4.897218863361541
2007-10-01,174.7,-0.9106372150131214,7.7065351418002415
2007-11-01,179.0,16.215238539243092,8.748481166464162
2007-12-01,178.6,12.286592232747129,7.85024154589371
2008-01-01,181.0,15.223928860102356,10.365853658536594
2008-02-01,182.7,8.528066414510427,9.532374100719409
2008-03-01,187.9,22.512753883024228,10.986414648552856
2008-04-01,190.9,23.739801242630357,11.376896149358217
2008-05-01,196.6,34.08489757204987,13.44489324870166
2008-06-01,200.5,29.6433925966048,15.362485615650169
2008-07-01,205.5,34.283790334045804,17.361507709880076
2008-08-01,199.0,4.973155339192736,15.4292343387471
2008-09-01,196.9,-6.990918252732714,13.487031700288178
2008-10-01,186.4,-32.30815875765442,6.69719519175731
2008-11-01,176.8,-37.69588419454385,-1.229050279329602
2008-12-01,170.9,-43.24744917020765,-4.311310190369532
2009-01-01,171.2,-28.840742265017028,-5.414364640883984
2009-02-01,169.3,-15.918821596956434,-7.334428024083184
2009-03-01,168.1,-6.394233718255893,-10.537519957424168
2009-04-01,169.1,-4.816999966429858,-11.419591409114727
2009-05-01,170.8,3.591383430856454,-13.123092573753803
2009-06-01,174.1,15.05996317979774,-13.167082294264343
2009-07-01,172.5,8.288407565602029,-16.058394160583944
2009-08-01,175.0,10.20485546887324,-12.060301507537686
2009-09-01,174.1,0.0,-11.579481970543426
2009-10-01,175.2,6.409403750043796,-6.008583690987135
2009-11-01,177.4,5.59959856487533,0.33936651583710287
2009-12-01,178.1,9.51171831149007,4.21299005266238
2010-01-01,181.9,16.196859116642347,6.25
2010-02-01,181.0,8.367695386316832,6.910809214412272
2010-03-01,183.3,12.200342333905168,9.042236763831069
2010-04-01,184.4,5.611903597630508,9.047900650502672
2010-05-01,184.8,8.66597175169781,8.196721311475418
2010-06-01,183.5,0.4371578186803004,5.399195864445727
2010-07-01,184.1,-0.6491728624615223,6.724637681159407
2010-08-01,184.9,0.2166259699498463,5.6571428571428495
2010-09-01,184.9,3.086873995060979,6.203331418724867
2010-10-01,186.6,5.543478519303946,6.506849315068486
2010-11-01,187.7,6.196314709185047,5.806087936865834
2010-12-01,189.7,10.79538703403342,6.513194834362723
2011-01-01,192.7,13.731377940561362,5.937328202308945
2011-02-01,195.8,18.411439123745964,8.176795580110507
2011-03-01,199.2,21.587243527324663,8.674304418985269
2011-04-01,203.1,23.399339463888104,10.1409978308026
2011-05-01,204.1,18.065026517770868,10.443722943722932
2011-06-01,203.9,9.777052730453995,11.11716621253407
2011-07-01,204.6,2.9870987688072503,11.135252580119491
2011-08-01,203.2,-1.7522087537764852,9.897241752298536
2011-09-01,203.7,-0.3917723010929075,10.167658193618156
2011-10-01,201.1,-6.669033147079495,7.770632368703101
2011-11-01,201.4,-3.496503166148534,7.298881193393725
2011-12-01,199.8,-7.441177815780941,5.324196099103862
2012-01-01,200.7,-0.7932533976246048,4.1515308770109005
2012-02-01,201.6,0.3978115429511542,2.962206332992845
2012-03-01,204.2,9.10408600390682,2.5100401606425793
2012-04-01,203.7,6.114474097735623,0.2954209748892156
2012-05-01,201.9,0.596568070302661,-1.0779029887310054
2012-06-01,199.8,-8.344404263265448,-2.0107896027464434
2012-07-01,200.1,-6.884015673121668,-2.1994134897360684
2012-08-01,202.7,1.5943881164686813,-0.24606299212598381
2012-09-01,204.4,9.53215448864675,0.3436426116838476
2012-10-01,203.5,6.971799019675795,1.1934361014420691
2012-11-01,201.8,-1.764230178781212,0.19860973187686426
