DATE,TB3MS,3m growth rate,12m growth rate
1990-03-01,7.9,14.9238623633132,-10.430839002267579
1990-04-01,7.77,6.981982324548008,-10.173410404624283
1990-05-01,7.74,0.0,-8.185053380782914
1990-06-01,7.73,-8.33371929547464,-5.153374233128838
1990-07-01,7.62,-7.501261437420781,-3.2994923857867953
1990-08-01,7.45,-14.165625183423824,-5.696202531645566
1990-09-01,7.36,-17.814863334826292,-5.032258064516126
1990-10-01,7.17,-21.610708843123927,-6.151832460732987
1990-11-01,7.06,-19.351979298366984,-8.192457737321202
1990-12-01,6.74,-29.67199000126096,-11.664482306684143
1991-01-01,6.22,-43.36499853351309,-18.586387434554975
1991-02-01,5.94,-49.889703122722736,-23.25581395348837
1991-03-01,5.91,-40.88327898075128,-25.18987341772152
1991-04-01,5.65,-31.91800826650024,-27.28442728442727
1991-05-01,5.46,-28.612069708680156,-29.45736434108528
1991-06-01,5.57,-21.101116567461897,-27.943078913324705
1991-07-01,5.58,-4.864412498157533,-26.77165354330708
1991-08-01,5.33,-9.189040317563167,-28.456375838926174
1991-09-01,5.22,-22.86326873597315,-29.076086956521742
1991-10-01,4.99,-36.04634250256389,-30.404463040446306
1991-11-01,4.56,-46.42643653957856,-35.41076487252125
1991-12-01,4.07,-63.04309233399369,-39.61424332344213
1992-01-01,3.8,-66.36958674826906,-38.90675241157556
1992-02-01,3.84,-49.71186531717834,-35.35353535353536
1992-03-01,4.04,-2.915963795301879,-31.64128595600677
1992-04-01,3.75,-5.1601879925337935,-33.628318584070804
1992-05-01,3.63,-20.145094022154808,-33.51648351648352
1992-06-01,3.66,-32.64049591496384,-34.290843806104135
1992-07-01,3.21,-46.3097954304,-42.4731182795699
1992-08-01,3.13,-44.72218729622573,-41.275797373358344
1992-09-01,2.91,-60.037963295259566,-44.25287356321839
1992-10-01,2.86,-36.98499095999455,-42.68537074148298
1992-11-01,3.13,0.0,-31.35964912280701
1992-12-01,3.22,49.91722365567488,-20.884520884520885
1993-01-01,3.0,21.065635579484976,-21.052631578947366
1993-02-01,2.93,-23.212039779980497,-23.697916666666664
