DATE,NOCDFSA066MSFRBPHI,3m growth rate,12m growth rate
1998-01-01,15.0,-40.79197226298105,-21.875
1998-02-01,21.9,150.9455311962289,21.666666666666657
1998-03-01,14.7,-32.20318671310643,-8.125000000000004
1998-04-01,11.3,-67.7931138765432,13.00000000000001
1998-05-01,16.2,-70.0578074536377,189.28571428571428
1998-06-01,17.5,100.85509638473684,4.790419161676662
1998-07-01,8.7,-64.86311667442446,-64.34426229508196
1998-08-01,10.6,-81.66996041347726,-38.01169590643275
1998-09-01,-1.5,-99.9946022490629,-107.10900473933648
1998-10-01,7.6,-41.76590124018844,-55.55555555555556
1998-11-01,-7.1,-79.871568507674,-140.80459770114945
1998-12-01,7.1,50095.91308641976,-56.17283950617284
1999-01-01,18.5,3411.013864922959,23.33333333333334
1999-02-01,17.5,3590.7854502030004,-20.091324200913242
1999-03-01,19.5,5589.905461193223,32.65306122448981
1999-04-01,18.4,-2.1446942071679187,62.831858407079636
1999-05-01,19.0,38.95117034568925,17.28395061728396
1999-06-01,14.3,-71.07950617283949,-18.285714285714285
1999-07-01,10.8,-88.13073763315596,24.137931034482783
1999-08-01,17.5,-28.032272235480093,65.09433962264151
1999-09-01,9.9,-77.02811526207066,-760.0
1999-10-01,28.8,4956.790123456789,278.94736842105266
1999-11-01,19.9,67.20917761599326,-380.28169014084506
1999-12-01,16.6,690.4812513222913,133.8028169014085
2000-01-01,4.4,-99.94551954137135,-76.21621621621621
2000-02-01,10.6,-91.94971685955196,-39.42857142857144
2000-03-01,16.9,7.427251930172485,-13.333333333333341
2000-04-01,16.0,17385.144457345807,-13.043478260869556
2000-05-01,14.2,222.054903877216,-25.263157894736842
2000-06-01,7.1,-96.88479539316012,-50.349650349650354
2000-07-01,7.7,-94.63607162475586,-28.70370370370371
2000-08-01,14.4,5.753948351547455,-17.714285714285715
2000-09-01,13.3,1131.3263376791174,34.34343434343434
2000-10-01,3.9,-93.41894489298949,-86.45833333333334
2000-11-01,2.5,-99.90915310962446,-87.43718592964824
2000-12-01,3.7,-99.4010365351635,-77.71084337349397
2001-01-01,-28.9,301431.6768830499,-756.8181818181818
2001-02-01,-19.0,333521.75999999995,-279.24528301886795
2001-03-01,-5.9,546.5485622633273,-134.9112426035503
2001-04-01,-7.4,-99.57013161289476,-146.25
2001-05-01,-6.2,-98.8661584855856,-143.66197183098592
2001-06-01,-8.2,273.1189984353852,-215.4929577464789
2001-07-01,-5.5,-69.48426189105419,-171.42857142857144
2001-08-01,-17.0,5552.348457696142,-218.05555555555554
2001-09-01,-0.9,-99.9854884224108,-106.76691729323309
2001-10-01,-10.8,1386.771624889011,-376.92307692307696
2001-11-01,-18.4,37.23838747141435,-836.0
2001-12-01,-6.3,240000.0,-270.27027027027026
2002-01-01,8.1,-68.35937500000003,-128.02768166089967
2002-02-01,8.5,-95.44588062046282,-144.73684210526315
2002-03-01,8.7,263.6761431707982,-247.45762711864404
2002-04-01,12.7,504.3309105936317,-271.62162162162156
2002-05-01,12.0,297.2366231247232,-293.5483870967742
2002-06-01,21.1,3359.8144701633537,-357.31707317073176
2002-07-01,6.8,-91.78096618949763,-223.63636363636363
2002-08-01,2.9,-99.65891155478394,-117.05882352941177
2002-09-01,4.4,-99.810904634581,-588.8888888888889
2002-10-01,2.4,-98.44829444091904,-122.22222222222223
2002-11-01,10.4,16440.22319276214,-156.52173913043478
2002-12-01,6.8,470.4596680554603,-207.9365079365079
2003-01-01,10.4,35160.49382716051,28.395061728395078
2003-02-01,9.5,-30.375664388009447,11.764705882352944
2003-03-01,-0.2,-99.99992516852048,-102.29885057471265
2003-04-01,-8.4,-57.44174748783306,-166.1417322834646
2003-05-01,1.7,-99.89745812263564,-85.83333333333334
2003-06-01,3.3,7411906.249999994,-84.36018957345972
2003-07-01,11.0,194.0719466168932,61.76470588235294
2003-08-01,16.9,976577.3877228484,482.7586206896552
2003-09-01,19.7,126901.58619334675,347.72727272727263
2003-10-01,26.7,3371.157380643398,1012.5
2003-11-01,22.9,237.12822261109864,120.19230769230766
2003-12-01,33.6,746.2373796822211,394.11764705882354
2004-01-01,33.0,133.3515629446517,217.3076923076923
2004-02-01,27.5,107.96432746842376,189.47368421052633
2004-03-01,26.3,-62.46245339578029,-13250.0
2004-04-01,26.3,-59.65708878584661,-413.09523809523813
2004-05-01,23.6,-45.76030527313706,1288.235294117647
2004-06-01,27.4,17.809213688177316,730.3030303030303
2004-07-01,35.2,220.88370240142203,220.00000000000003
2004-08-01,18.7,-60.57983713280271,10.650887573964507
2004-09-01,26.5,-12.505401119296522,34.51776649746194
2004-10-01,20.2,-89.15486846104663,-24.34456928838952
2004-11-01,22.0,91.56858754085802,-3.9301310043668103
2004-12-01,20.4,-64.88140165853008,-39.28571428571429
2005-01-01,11.1,-90.88227609030643,-66.36363636363636
2005-02-01,14.0,-83.60084693668466,-49.09090909090909
2005-03-01,16.0,-62.15929134995396,-39.163498098859314
2005-04-01,20.6,1086.2520237121284,-21.673003802281364
2005-05-01,16.7,102.4667641087047,-29.237288135593232
2005-06-01,3.3,-99.81904281616212,-87.95620437956204
2005-07-01,5.4,-99.52782155476864,-84.6590909090909
2005-08-01,13.7,-54.70853339251009,-26.7379679144385
2005-09-01,-1.0,-99.15677351189495,-103.77358490566037
2005-10-01,20.2,19480.80031461629,0.0
2005-11-01,14.7,32.55223972362911,-33.18181818181819
2005-12-01,6.7,201411.21,-67.15686274509804
2006-01-01,13.1,-82.31196027920362,18.01801801801801
2006-02-01,15.8,33.46242412346636,12.857142857142856
2006-03-01,22.6,12845.968494755203,41.25000000000001
2006-04-01,13.8,23.149077517070022,-33.009708737864074
2006-05-01,3.1,-99.85181016054882,-81.437125748503
2006-06-01,15.2,-79.53835266306457,360.6060606060606
2006-07-01,7.4,-91.73180837566449,37.037037037037024
2006-08-01,9.9,10301.452809410936,-27.73722627737225
2006-09-01,-2.7,-99.90044095894704,170.00000000000003
2006-10-01,11.7,524.9086958110853,-42.079207920792086
2006-11-01,0.7,-99.997500510126,-95.23809523809523
2006-12-01,-1.9,-75.47780468575066,-128.3582089552239
2007-01-01,3.8,-98.8872670730273,-70.99236641221374
2007-02-01,3.1,38364.014993752615,-80.37974683544304
2007-03-01,4.2,2287.7164846801365,-81.41592920353983
2007-04-01,4.9,176.47122298017993,-64.4927536231884
2007-05-01,8.1,4561.152372279568,161.29032258064515
2007-06-01,14.9,15739.73501910212,-1.9736842105263053
2007-07-01,8.5,805.5061050676336,14.864864864864868
2007-08-01,3.2,-97.56409785544407,-67.67676767676767
2007-09-01,12.7,-47.21994843573882,-570.3703703703703
2007-10-01,4.7,-90.65206403180038,-59.82905982905983
2007-11-01,5.3,652.4949073791499,657.1428571428572
2007-12-01,9.6,-67.35098763768114,-605.2631578947368
2008-01-01,-13.1,5935.228962712931,-444.7368421052632
2008-02-01,-9.8,1068.963159533621,-416.12903225806457
2008-03-01,-6.4,-80.2469135802469,-252.38095238095238
2008-04-01,-15.5,95.99347362813052,-416.32653061224494
2008-05-01,-2.7,-99.4238298511952,-133.33333333333334
2008-06-01,-17.3,5239.056497812271,-216.10738255033556
2008-07-01,-13.6,-40.73083063622809,-259.99999999999994
2008-08-01,-14.5,83079.62389051652,-553.125
2008-09-01,6.4,-98.1270098932091,-49.606299212598415
2008-10-01,-28.7,1883.2248404522704,-710.6382978723403
2008-11-01,-31.8,2213.324039752234,-700.0
2008-12-01,-29.4,44431.7154884338,-406.25
2009-01-01,-22.9,-59.46647793076153,74.8091603053435
2009-02-01,-31.7,-1.2519407546452863,223.469387755102
2009-03-01,-39.2,216.04938271604956,512.5
2009-04-01,-24.7,35.3461428808066,59.354838709677416
2009-05-01,-22.4,-75.06812019806594,729.6296296296296
2009-06-01,-9.6,-99.64029981260413,-44.50867052023122
