DATE,IC4WSA,3m growth rate,12m growth rate
2019-02-09,228000,21.31101809129241,0.1097694840834329
2019-02-16,229750,17.33274503310296,2.3385300668151476
2019-02-23,226500,6.427380554407636,2.257336343115135
2019-03-02,223250,7.010839701637783,0.5630630630630629
2019-03-09,221500,6.57833905997558,0.2262443438914019
2019-03-16,221500,11.61069802072332,-0.22522522522522292
2019-03-23,219500,7.135865090993687,-1.6797312430011146
2019-03-30,217250,-4.037613009674901,-3.658536585365857
2019-04-06,211750,-13.785931340826252,-7.330415754923414
2019-04-13,208000,-16.359562719069476,-10.05405405405405
2019-04-20,210250,-16.583244372442696,-7.886089813800656
2019-04-27,215000,-14.748571733809968,-3.3707865168539297
2019-05-04,220500,-12.52277710392753,1.965317919075149
2019-05-11,223750,-10.044008296774098,4.800936768149877
2019-05-18,221000,-9.36493107641898,0.9132420091324311
2019-05-25,218000,-9.079858243456108,-1.4689265536723117
2019-06-01,216750,-8.30587673377905,-3.2366071428571397
2019-06-08,217750,-6.601966446904372,-2.134831460674158
2019-06-15,219250,-0.4548031292012311,-0.3409090909090917
2019-06-22,220750,6.601596412045541,0.4550625711035261
