DATE,AHETPI,3m growth rate,12m growth rate
2002-06-01,14.94,3.278417638237352,2.751031636863832
2002-07-01,14.98,3.827321331868161,2.955326460481089
2002-08-01,15.02,3.816887867020236,2.9472241261137677
2002-09-01,15.06,3.251768152314649,2.9391660970608413
2002-10-01,15.12,3.791051362751663,3.137789904502042
2002-11-01,15.15,3.5072572356037224,2.9911624745071252
2002-12-01,15.2,3.7706326142360025,3.050847457627115
2003-01-01,15.22,2.671863621750181,3.1165311653116534
2003-02-01,15.29,3.747922823333005,3.4506089309878307
2003-03-01,15.27,1.8548694455848835,3.0364372469635637
2003-04-01,15.28,1.5862215423711357,2.96495956873315
2003-05-01,15.33,1.0505490980437404,3.0241935483870996
2003-06-01,15.36,2.3784887712298586,2.8112449799196693
2003-07-01,15.4,3.1785609478883314,2.8037383177569986
2003-08-01,15.42,2.369097721169356,2.663115845539288
2003-09-01,15.41,1.3084549707092386,2.3240371845949515
2003-10-01,15.43,0.781500681566194,2.050264550264558
2003-11-01,15.47,1.3033389569808929,2.1122112211221067
2003-12-01,15.47,1.566549832194064,1.7763157894737036
2004-01-01,15.51,2.0900665688964537,1.905387647831791
2004-02-01,15.53,1.5604386847055671,1.5696533682145297
2004-03-01,15.56,2.3474710182060043,1.8991486574983618
2004-04-01,15.59,2.079202749795983,2.0287958115183358
2004-05-01,15.63,2.6006445703735004,1.9569471624266255
2004-06-01,15.67,2.8578909917076345,2.018229166666674
2004-07-01,15.69,2.590539480114651,1.8831168831168865
2004-08-01,15.73,2.5838462655253247,2.0103761348897464
2004-09-01,15.78,2.8376182315434706,2.40103828682674
2004-10-01,15.81,3.0945495430697134,2.4627349319507497
2004-11-01,15.84,2.826681113649121,2.3917259211376773
2004-12-01,15.86,2.043356749824432,2.5210084033613356
2005-01-01,15.9,2.296557156522172,2.5145067698259194
2005-02-01,15.93,2.2921705822436023,2.5756600128783003
2005-03-01,15.97,2.803270844558514,2.634961439588679
2005-04-01,16.0,2.539556175737112,2.6298909557408656
2005-05-01,16.04,2.7908252044036352,2.6231605886116283
2005-06-01,16.08,2.7837628980852847,2.616464582003819
2005-07-01,16.15,3.8030647373199056,2.9318036966220484
2005-08-01,16.17,3.281520711316288,2.7972027972028135
2005-09-01,16.19,2.764524571160454,2.5982256020278927
2005-10-01,16.28,3.258900303326162,2.972802024035426
2005-11-01,16.3,3.254820962608118,2.90404040404042
2005-12-01,16.35,4.0120444653996445,3.0895334174022793
2006-01-01,16.42,3.484429294368097,3.2704402515723263
2006-02-01,16.48,4.4908860388855,3.4526051475204156
2006-03-01,16.54,4.729973316073743,3.569192235441454
2006-04-01,16.63,5.21469140693247,3.937499999999994
2006-05-01,16.65,4.190499940713699,3.802992518703241
2006-06-01,16.72,4.42466039467293,3.9800995024875663
2006-07-01,16.77,3.410170348708608,3.83900928792571
2006-08-01,16.82,4.147059965579647,4.019789734075441
2006-09-01,16.87,3.637096659288264,4.200123533045086
2006-10-01,16.93,3.8713035754414538,3.992628992628977
2006-11-01,16.97,3.615184207322275,4.110429447852759
2006-12-01,17.04,4.092162579013725,4.220183486238516
2007-01-01,17.09,3.834199344170619,4.080389768574899
2007-02-01,17.15,4.310764466118622,4.065533980582514
2007-03-01,17.22,4.29277584551071,4.111245465538094
2007-04-01,17.27,4.280018462477542,3.848466626578473
2007-05-01,17.33,4.2648093234489926,4.084084084084072
2007-06-01,17.42,4.727325848070785,4.186602870813405
2007-07-01,17.46,4.473851895595793,4.114490161001805
2007-08-01,17.5,3.9819467151812393,4.042806183115344
2007-09-01,17.56,3.2536573116648704,4.090100770598681
2007-10-01,17.58,2.777612633979332,3.8393384524512575
2007-11-01,17.63,3.0047030543779663,3.8892162639952765
2007-12-01,17.69,2.9943225510656646,3.8145539906103476
2008-01-01,17.73,3.456899632604049,3.7448800468109944
2008-02-01,17.8,3.9132097958678,3.790087463556868
2008-03-01,17.88,4.365924895590689,3.832752613240409
2008-04-01,17.92,4.3559170535469205,3.763752171395507
2008-05-01,17.98,4.106714390549149,3.7507212925562694
2008-06-01,18.03,3.3981691944246606,3.5017221584385805
2008-07-01,18.1,4.078800452004994,3.6655211912943964
